book,split,pages,text_pages,text_boxes
ARMS,train,82,78,1231
AisazuNihaIrarenai,train,95,91,1528
AkkeraKanjinchou,train,93,89,1419
Akuhamu,test,82,79,1633
AosugiruHaru,test,106,98,1522
AppareKappore,train,98,94,1448
Arisa,train,98,95,1585
BEMADER_P,train,115,108,1551
BakuretsuKungFuGirl,train,98,95,2034
BurariTessenTorimonocho,train,113,109,1879
Count3DeKimeteAgeru,train,100,92,1275
DollGun,test,97,92,1372
Donburakokko,train,90,84,1076
DualJustice,test,100,95,914
EienNoWith,test,125,121,1979
EvaLady,train,109,100,1643
EverydayOsakanaChan,train,86,81,1939
GakuenNoise,test,99,94,1350
GarakutayaManta,train,103,100,1075
GinNoChimera,train,103,97,925
Hamlet,train,185,164,3116
HanzaiKousyouninMinegishiEitarou,train,100,98,1780
HaruichibanNoFukukoro,train,97,93,1475
HarukaRefrain,train,99,94,1193
HealingPlanet,train,95,92,1144
HeiseiJimen,val,111,109,1216
HinagikuKenzan,train,89,86,1076
HisokaReturns,val,90,82,1237
JangiriPonpon,test,110,109,1523
JijiBabaFight,val,73,69,1503
Joouari,train,97,95,1086
Jyovolley,test,93,83,914
KarappoHighschool,train,121,118,1544
KimiHaBokuNoTaiyouDa,train,111,110,1424
KyokugenCyclone,train,58,57,762
LancelotFullThrottle,test,97,94,1673
LoveHina_vol01,train,97,88,1872
LoveHina_vol14,train,97,88,1923
MAD_STONE,train,96,90,704
MadouTaiga,train,84,78,757
MagicStarGakuin,train,82,73,1503
MagicianLoad,train,88,80,1159
MariaSamaNihaNaisyo,train,97,91,1662
MemorySeijin,train,102,95,1316
MiraiSan,train,107,103,1396
MisutenaideDaisy,train,111,105,1848
MomoyamaHaikagura,train,51,50,809
MukoukizuNoChonbo,train,63,59,1173
MutekiBoukenSyakuma,train,93,90,1206
Nekodama,train,117,111,1489
Ningyoushi,train,95,89,1258
OL_Lunch,val,67,63,1789
PLANET7,train,99,93,1600
ParaisoRoad,val,105,99,1449
PlatinumJungle,test,86,81,1095
PrayerHaNemurenai,val,98,88,1449
PrismHeart,train,92,88,1721
RinToSiteSippuNoNaka,val,152,149,1777
RisingGirl,train,121,114,1672
Saisoku,train,100,96,1326
SaladDays_vol01,train,91,90,1367
SaladDays_vol18,train,95,92,1365
SamayoeruSyonenNiJunaiWo,train,89,87,1025
SeisinkiVulnus,train,100,93,998
SonokiDeABC,val,99,99,1538
SyabondamaKieta,train,94,91,1395
TaiyouNiSmash,train,91,87,1092
TapkunNoTanteisitsu,train,107,100,1320
TasogareTsushin,train,98,92,1270
TennenSenshiG,test,89,87,1694
TensiNoHaneToAkumaNoShippo,train,91,84,1230
TetsuSan,train,40,40,1187
That'sIzumiko,train,127,118,1565
ToutaMairimasu,val,109,103,1061
TouyouKidan,train,133,126,1422
TsubasaNoKioku,test,97,92,998
UchiNoNyan'sDiary,train,82,82,1314
UchuKigekiM774,val,83,80,1816
UltraEleven,train,113,105,1515
UnbalanceTokyo,train,88,81,1506
WarewareHaOniDearu,train,96,91,1377
YamatoNoHane,test,114,102,1078
YasasiiAkuma,train,94,89,2181
YoumaKourin,val,107,101,1190
YukiNoFuruMachi,val,95,93,1768
YumeNoKayoiji,train,97,94,1215
YumeiroCooking,val,96,85,1728
